specimen_id,species,sectionid,spore_count,min_length,10_length,90_length,max_length,min_width,10_width,90_width,max_width,min_q,avg_q,max_q,amyloid,shape
30181,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30182,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,
30183,Amanita oberwinkleriana,Roanokensis,,,,,,,,,,,,,,
30184,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,
30185,Amanita sp aurorae,Vaginatae,,,,,,,,,,,,,,
30186,Amanita fusca,Vaginatae,,,,,,,,,,,,,,
30187,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,
30188,Amanita sp longicuneus,Vaginatae,,,,,,,,,,,,,,
30189,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,
30190,Amanita frostiana,Amanita,,,,,,,,,,,,,,
30191,Amanita frostiana,Amanita,,,,,,,,,,,,,,
30192,Amanita muscaria var guessowii,Amanita,,,,,,,,,,,,,,
30193,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30194,Amanita sp 1,Vaginatae,,,,,,,,,,,,,,
30195,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30196,Amanita muscaria var guessowii,Amanita,,,,,,,,,,,,,,
30197,Amanita muscaria var guessowii,Amanita,,,,,,,,,,,,,,
30198,Amanita mortenii,Vaginatae,,,,,,,,,,,,,,
30199,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30200,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30201,Amanita flavoconia,Validae,,,,,,,,,,,,,,
30202,Amanita porphyria,Validae,,,,,,,,,,,,,,
30203,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30204,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30205,Amanita flavoconia,Validae,,,,,,,,,,,,,,
30206,Amanita flavoconia,Validae,,,,,,,,,,,,,,
30207,Amanita porphyria,Validae,,,,,,,,,,,,,,
30208,Amanita lavendula,Validae,,,,,,,,,,,,,,
30209,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30210,Amanita muscaria var guessowii,Amanita,,,,,,,,,,,,,,
30211,Amanita muscaria var guessowii,Amanita,,,,,,,,,,,,,,
30212,Amanita firma,Amidella,,,,,,,,,,,,,,
30213,Amanita sp cornelihybrida,Validae,,,,,,,,,,,,,,
30214,Amanita sp cornelihybrida,Validae,,,,,,,,,,,,,,
30215,Amanita sp  61,Vaginatae,,,,,,,,,,,,,,
30216,Amanita sp cornelihybrida,Validae,,,,,,,,,,,,,,
30217,Amanita sp cornelihybrida,Validae,,,,,,,,,,,,,,
30218,Amanita sp cornelihybrida,Validae,,,,,,,,,,,,,,
30219,Amanita sp cornelihybrida,Validae,,,,,,,,,,,,,,
30220,Amanita sp  61,Vaginatae,,,,,,,,,,,,,,
30221,Amanita velatipes,Amanita,,,,,,,,,,,,,,
30222,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30223,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30224,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30225,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30226,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30227,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30228,Amanita flavoconia,Validae,,,,,,,,,,,,,,
30229,Amanita frostiana,Amanita,,,,,,,,,,,,,,
30230,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,
30231,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,
30232,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,
30233,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,
30234,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,
30235,Amanita solaniolens,Validae,,,,,,,,,,,,,,
30236,Amanita solaniolens,Validae,,,,,,,,,,,,,,
30237,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30238,Amanita flavorubens,Validae,,,,,,,,,,,,,,
30239,Amanita virginiana,Caesareae,,,,,,,,,,,,,,
30240,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30242,Amanita frostiana,Amanita,,,,,,,,,,,,,,
30243,Amanita fulva,Vaginatae,,,,,,,,,,,,,,
30244,Amanita coryli,Vaginatae,,,,,,,,,,,,,,
30245,Amanita fulva,Vaginatae,,,,,,,,,,,,,,
30246,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30247,Amanita sp  'balmei',Vaginatae,,,,,,,,,,,,,,
30248,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30249,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30250,Amanita coryli,Vaginatae,,,,,,,,,,,,,,
30251,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30252,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,
30253,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30254,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30255,Amanita fulva,Vaginatae,,,,,,,,,,,,,,
30256,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,
30257,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30258,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30259,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30260,Amanita solaniolens,Validae,,,,,,,,,,,,,,
30261,Amanita frostiana,Amanita,,,,,,,,,,,,,,
30262,Amanita sp  subnigra,Vaginatae,,,,,,,,,,,,,,
30263,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30264,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,
30265,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30267,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30268,Amanita sp  jakeslandingensis,Vaginatae,,,,,,,,,,,,,,
30269,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30270,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,
30271,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,
30272,Amanita brunnescens,Validae,,,,,,,,,,,,,,
30273,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30274,Amanita sp 2,Amidella,,,,,,,,,,,,,,
