specimen_id,species,sectionid,spore_count,min_length,10_length,avg_length,90_length,max_length,min_width,10_width,avg_width,90_width,max_width,min_q,avg_q,max_q,,,,,,,
30181,Amanita bisporigera,Phalloideae,25,7.5,8.5,9.98,11.5,14.5,7,8,9.14,11.5,12,1,1.095069632,1.5,,,,,,,
30182,Amanita suballiacea,Phalloideae,25,8,9,10.28,11.5,12,6,7.5,8.5,9.5,10,1,1.207834717,1.5,,,,,,,
30183,Amanita oberwinklerana,Roanokensis,25,6,8.5,9.904,11.5,11.5,6.5,7,7.46,8,8,1,1.322751968,1.5,,,,,,,
30184,Amanita suballiacea,Phalloideae,25,7.5,8.5,9.92,11,13,6,7,8.24,9.5,11,1,1.21145354,1.5,,,,,,,
30185,Amanita sp aurorae,Vaginatae,25,9,9.5,10.66,11.5,12,8.5,9,9.62,10.5,11,1,1.110121391,1.5,,,,,,,
30186,Amanita fusca,Vaginatae,25,10,10.5,11.16,12,12.5,10,10.5,11.12,12,12.5,1,1.004585545,1,,,,,,,
30187,Amanita suballiacea,Phalloideae,25,9,9,9.84,10.5,11.5,7.5,8.5,8.8,9.5,10,1,1.120468868,1.5,,,,,,,
30188,Amanita sp longicuneus,Vaginatae,13,9.5,10,10.88462,12,12,9.5,10,10.692308,11.5,12.5,1,1.01875342,1,,,,,,,
30189,Amanita rhacopus,Vaginatae,25,7.5,10,10.74,11.5,12.5,8,9.5,10.72,11.5,12.5,1,1.002264062,1,,,,,,,
30190,Amanita frostiana,Amanita,25,8,8,9.12,10,10,8,8.5,8.98,9.5,10,1,1.016473168,1,,,,,,,
30191,Amanita frostiana,Amanita,25,6,8,8.68,9.5,10,6,7.5,8.54,9.5,10,1,1.017318615,1,,,,,,,
30192,Amanita muscaria var. guessowii,Amanita,25,8,9,9.62,10,10.5,6.5,7,7.66,8,9,1,1.259540904,1.5,,,,,,,
30193,Amanita albiceps,Vaginatae,25,8,9,10,11.5,12,8,8.5,9.74,11,12,1,1.029269817,1.5,,,,,,,
30194,Amanita sp,Vaginatae,25,10,10,11.2,12,14,10.5,11,11.68,12,14,1,0.959224761,1,,,,,,,
30195,Amanita amerivirosa,Phalloideae,25,8.5,9,9.64,10.5,11.5,8,8.5,9.42,10.5,11.5,1,1.026453868,1,,,,,,,
30196,Amanita muscaria var. guessowii,Amanita,25,10,10,11.34,12,13,8,8.5,8.88,10,10,1,1.279352597,1.5,,,,,,,
30197,Amanita muscaria var. guessowii,Amanita,25,10,10.5,11,12,12,7.5,7.5,8.08,8.5,9,1,1.363078431,1.5,,,,,,,
30198,Amanita mortenii/sinicoflava,Vaginatae,25,10.5,11.5,12.28,13,14,10.5,11,12.06,13,14.5,1,1.01988191,1,,,,,,,
30199,Amanita bisporigera,Phalloideae,25,7.5,8,8.82,9.5,10.5,7.5,7.5,8.42,9.5,10,1,1.049486928,1,,,,,,,
30200,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30201,Amanita flavoconia,Validae,25,7.5,8,8.76,9.5,11,7,7.5,8,8.5,10,1,1.099635387,1.5,,,,,,,
30202,Amanita porphyria,Validae,25,8,9,9.6,10,12,8,9,9.38,10.5,11.5,1,1.02,1.2,,,,,,,
30203,Amanita amerivirosa,Phalloideae,25,10,10.5,11.54,12.5,13,8,9,9.9,11,11.5,1,1.173037774,1.5,,,,,,,
30204,Amanita amerivirosa,Phalloideae,25,8.5,9.5,10.16,11,14.5,8.5,8.5,9.62,10.5,13,1,1.058079339,1,,,,,,,
30205,Amanita flavoconia,Validae,25,7,7,8.08,9,10,6,6.5,7.32,8,9,1,1.106281441,1.5,,,,,,,
30206,Amanita flavoconia,Validae,25,6.5,7,8.62,10.5,12,6,6,7.14,8.5,9.5,1,1.207791345,1.5,,,,,,,
30207,Amanita porphyria,Validae,25,8,8.5,9.36,10,10.5,8,8.5,9.26,10,10.5,1,1.010984127,1,,,,,,,
30208,Amanita aff citrina,Validae,25,8.5,8.5,9.48,10,11,7,8,8.78,9.5,10,1,1.081038921,1,,,,,,,
30209,Amanita amerivirosa,Phalloideae,25,9.5,9.5,10.64,11.5,12,8.5,9,9.88,10.5,11,1,1.078360804,1,,,,,,,
30210,Amanita muscaria var. guessowii,Amanita,,,,,,,,,,,,,,,,,,,,,
30211,Amanita muscaria var. guessowii,Amanita,,,,,,,,,,,,,,,,,,,,,
30212,Amanita sp ami1,Amidella,25,9,9.5,10.34,11.5,12,5,5.5,6.38,7,7,1.5,1.626340326,2,,,,,,,
30213,Amanita aff citrina,Validae,25,6.5,7.5,8.38,9,9.5,6.5,7.5,7.98,8.5,9,1,1.050351541,1,,,,,,,
30214,Amanita aff citrina,Validae,25,9,9,10.19565,11,12,8.5,9,9.826087,11,11,1,1.040532021,1,,,,,,,
30215,Amanita sp 61,Vaginatae,25,9.5,10,11.52,13,13.5,10,10,11.62,13,14,1,0.992857736,1,,,,,,,
30216,Amanita aff citrina,Validae,,,,,,,,,,,,,,,,,,,,,
30217,Amanita aff citrina,Validae,,,,,,,,,,,,,,,,,,,,,
30218,Amanita aff citrina,Validae,,,,,,,,,,,,,,,,,,,,,
30219,Amanita aff citrina,Validae,,,,,,,,,,,,,,,,,,,,,
30220,Amanita sp 61,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30221,Amanita multisquamosa,Amanita,11,11,11.5,12.18182,13,13.5,8,8.5,8.909091,9.5,10,1.2,1.4,1.6,,,,,,,
